OBJECTID,FIPS,FIPS_new,field_avg,date,hour_utc,hour_mountain,field_avg_bins,color
67,08013012206,8013,1.383906511159296,2024-02-01,15,8,1-2,teal
67,08013012206,8013,2.248807832092672,2024-08-01,18,11,2-3,seafoam
67,08013012206,8013,2.008865189134336,2024-05-01,18,11,2-3,seafoam
67,08013012206,8013,1.436101235441664,2024-07-01,13,6,1-2,teal
67,08013012206,8013,2.844906611539968,2023-11-01,19,12,2-3,seafoam
67,08013012206,8013,1.0026171391704546,2024-01-01,22,15,1-2,teal
67,08013012206,8013,2.1158653067264,2024-04-01,16,9,2-3,seafoam
67,08013012206,8013,1.83482210844672,2023-08-01,23,16,1-2,teal
67,08013012206,8013,3.024822791569408,2023-10-01,17,10,3-4,yellow
67,08013012206,8013,2.092260166467584,2024-07-01,21,14,2-3,seafoam
67,08013012206,8013,1.757525582020608,2023-08-01,18,11,1-2,teal
67,08013012206,8013,1.238732724240384,2024-03-01,20,13,1-2,teal
67,08013012206,8013,2.131205185077248,2024-08-01,23,16,2-3,seafoam
67,08013012206,8013,0.284016758489088,2023-12-01,15,8,0-1,royal blue
67,08013012206,8013,1.39620931076096,2023-09-01,16,9,1-2,teal
67,08013012206,8013,1.69231979118592,2024-05-01,23,16,1-2,teal
67,08013012206,8013,1.466423704551424,2024-06-01,14,7,1-2,teal
67,08013012206,8013,2.828094767366144,2024-01-01,19,12,2-3,seafoam
67,08013012206,8013,1.840046265073664,2023-11-01,22,15,1-2,teal
67,08013012206,8013,2.134379702779904,2024-06-01,23,16,2-3,seafoam
67,08013012206,8013,1.891591778205696,2023-11-01,15,8,1-2,teal
67,08013012206,8013,2.7081849176064,2023-09-01,21,14,2-3,seafoam
67,08013012206,8013,2.11558948929536,2024-02-01,19,12,2-3,seafoam
67,08013012206,8013,1.774174620090368,2024-08-01,14,7,1-2,teal
67,08013012206,8013,0.971438324483913,2023-12-01,22,15,0-1,royal blue
67,08013012206,8013,1.815976731475968,2024-05-01,14,7,1-2,teal
67,08013012206,8013,1.557050198851584,2024-03-01,17,10,1-2,teal
67,08013012206,8013,2.59095512743936,2023-10-01,20,13,2-3,seafoam
67,08013012206,8013,1.590692543463424,2024-07-01,16,9,1-2,teal
67,08013012206,8013,1.409168569270272,2024-04-01,21,14,1-2,teal
67,08013012206,8013,1.396402718507008,2023-08-01,14,7,1-2,teal
67,08013012206,8013,1.574986921803776,2024-06-01,18,11,1-2,teal
67,08013012206,8013,1.914253636272128,2024-01-01,15,8,1-2,teal
67,08013012206,8013,2.733672595718144,2023-12-01,19,12,2-3,seafoam
67,08013012206,8013,2.090063022260224,2024-02-01,22,15,2-3,seafoam
67,08013012206,8013,1.600354609266688,2024-04-01,13,6,1-2,teal
67,08013012206,8013,3.16674381185024,2023-09-01,19,12,3-4,yellow
67,08013012206,8013,1.658606445395968,2024-02-01,21,14,1-2,teal
67,08013012206,8013,1.923483923644416,2024-01-01,16,9,1-2,teal
67,08013012206,8013,1.708833806221312,2024-04-01,22,15,1-2,teal
67,08013012206,8013,1.540407871668224,2023-08-01,17,10,1-2,teal
67,08013012206,8013,1.252190467391488,2024-07-01,15,8,1-2,teal
67,08013012206,8013,2.900738770468864,2024-04-01,19,12,2-3,seafoam
67,08013012206,8013,1.494786460614656,2024-03-01,14,7,1-2,teal
67,08013012206,8013,2.473637827313664,2024-07-01,00,17,2-3,seafoam
67,08013012206,8013,2.875886747516928,2023-10-01,18,11,2-3,seafoam
67,08013012206,8013,3.524734436245504,2023-12-01,21,14,3-4,yellow
67,08013012206,8013,1.964453079810048,2024-08-01,17,10,1-2,teal
67,08013012206,8013,2.220458632019968,2023-09-01,22,15,2-3,seafoam
67,08013012206,8013,2.367876942004224,2024-05-01,17,10,2-3,seafoam
67,08013012206,8013,0.906602299260928,2024-06-01,20,13,0-1,royal blue
67,08013012206,8013,1.919824745725952,2023-11-01,16,9,1-2,teal
67,08013012206,8013,1.539780269572096,2024-06-01,17,10,1-2,teal
67,08013012206,8013,3.487794496274432,2023-11-01,21,14,3-4,yellow
67,08013012206,8013,1.445107110772736,2023-09-01,15,8,1-2,teal
67,08013012206,8013,1.378298223394816,2023-12-01,16,9,1-2,teal
67,08013012206,8013,2.5132873547776,2024-08-01,20,13,2-3,seafoam
67,08013012206,8013,2.125000299511808,2024-05-01,20,13,2-3,seafoam
67,08013012206,8013,2.625135282487296,2024-04-01,00,17,2-3,seafoam
67,08013012206,8013,1.58912514883584,2024-07-01,19,12,1-2,teal
67,08013012206,8013,1.326220268535808,2024-03-01,23,16,1-2,teal
67,08013012206,8013,1.895254177349632,2023-10-01,14,7,1-2,teal
67,08013012206,8013,2.346255002894336,2024-07-01,22,15,2-3,seafoam
67,08013012206,8013,2.216335731851264,2024-04-01,15,8,2-3,seafoam
67,08013012206,8013,1.691749634277376,2023-08-01,20,13,1-2,teal
67,08013012206,8013,1.717412600741888,2024-03-01,18,11,1-2,teal
67,08013012206,8013,3.382420963328,2023-09-01,00,17,3-4,yellow
67,08013012206,8013,4.982069184692224,2024-01-01,21,14,4-5,orange
67,08013012206,8013,1.566231765188608,2024-02-01,16,9,1-2,teal
67,08013012206,8013,2.941630348787712,2024-05-01,00,17,2-3,seafoam
67,08013012206,8013,0.972276845510656,2024-06-01,19,12,0-1,royal blue
67,08013012206,8013,1.315819334139904,2024-08-01,00,17,1-2,teal
67,08013012206,8013,1.48563120095232,2024-02-01,23,16,1-2,teal
67,08013012206,8013,1.74669474824192,2023-12-01,18,11,1-2,teal
67,08013012206,8013,1.81781001142272,2024-07-01,17,10,1-2,teal
67,08013012206,8013,3.094691440492544,2023-10-01,21,14,3-4,yellow
67,08013012206,8013,1.571844079484928,2023-08-01,15,8,1-2,teal
67,08013012206,8013,2.105440213139456,2024-04-01,20,13,2-3,seafoam
67,08013012206,8013,3.391296244809728,2023-08-01,00,17,3-4,yellow
67,08013012206,8013,1.4734657060864,2024-03-01,16,9,1-2,teal
67,08013012206,8013,1.912901124227072,2024-06-01,22,15,1-2,teal
67,08013012206,8013,2.073777177362432,2024-05-01,15,8,2-3,seafoam
67,08013012206,8013,1.885673984360448,2024-08-01,15,8,1-2,teal
67,08013012206,8013,1.9246520205312,2024-02-01,18,11,1-2,teal
67,08013012206,8013,2.88288002801664,2023-09-01,20,13,2-3,seafoam
67,08013012206,8013,1.710073843810304,2024-05-01,22,15,1-2,teal
67,08013012206,8013,2.317568647888896,2023-09-01,17,10,2-3,seafoam
67,08013012206,8013,2.277186828500992,2024-08-01,22,15,2-3,seafoam
67,08013012206,8013,2.094256655171584,2024-01-01,18,11,2-3,seafoam
67,08013012206,8013,1.401533593812992,2024-06-01,15,8,1-2,teal
67,08013012206,8013,1.203931141111808,2024-03-01,21,14,1-2,teal
67,08013012206,8013,1.96849021485056,2023-08-01,19,12,1-2,teal
67,08013012206,8013,2.158595265265664,2023-08-01,22,15,2-3,seafoam
67,08013012206,8013,2.120277848752128,2024-04-01,17,10,2-3,seafoam
67,08013012206,8013,1.632095222890496,2024-07-01,20,13,1-2,teal
67,08013012206,8013,2.511821160316928,2023-10-01,16,9,2-3,seafoam
67,08013012206,8013,3.264884888305664,2024-05-01,19,12,3-4,yellow
67,08013012206,8013,2.368809218342912,2024-08-01,19,12,2-3,seafoam
67,08013012206,8013,2.25976751489024,2024-06-01,00,17,2-3,seafoam
67,08013012206,8013,2.419149993148416,2023-11-01,18,11,2-3,seafoam
67,08013012206,8013,4.075375281831936,2024-01-01,20,13,4-5,orange
67,08013012206,8013,1.581397697363968,2024-02-01,17,10,1-2,teal
67,08013012206,8013,1.865332616593408,2023-08-01,13,6,1-2,teal
67,08013012206,8013,1.581537820672,2024-07-01,23,16,1-2,teal
67,08013012206,8013,2.452766433738752,2023-10-01,15,8,2-3,seafoam
67,08013012206,8013,1.70120097824768,2024-03-01,19,12,1-2,teal
67,08013012206,8013,2.168207133638656,2023-08-01,21,14,2-3,seafoam
67,08013012206,8013,1.893641148694528,2024-04-01,14,7,1-2,teal
67,08013012206,8013,1.233436626911232,2024-07-01,18,11,1-2,teal
67,08013012206,8013,1.078256304390144,2024-03-01,22,15,1-2,teal
67,08013012206,8013,2.129384253161472,2024-05-01,13,6,2-3,seafoam
67,08013012206,8013,2.932533071183872,2023-11-01,20,13,2-3,seafoam
67,08013012206,8013,1.360553566011392,2024-06-01,16,9,1-2,teal
67,08013012206,8013,1.77484289015808,2024-05-01,21,14,1-2,teal
67,08013012206,8013,2.67796311179264,2024-08-01,21,14,2-3,seafoam
67,08013012206,8013,1.591650858041344,2023-12-01,17,10,1-2,teal
67,08013012206,8013,1.472932324835328,2023-09-01,14,7,1-2,teal
67,08013012206,8013,2.309464849907712,2024-05-01,16,9,2-3,seafoam
67,08013012206,8013,2.913354431594496,2023-09-01,23,16,2-3,seafoam
67,08013012206,8013,2.17642367451136,2024-08-01,16,9,2-3,seafoam
67,08013012206,8013,2.55686248235008,2023-12-01,20,13,2-3,seafoam
67,08013012206,8013,2.3391734071296,2023-11-01,17,10,2-3,seafoam
67,08013012206,8013,1.680963226566656,2024-06-01,21,14,1-2,teal
67,08013012206,8013,1.234423798300672,2024-03-01,15,8,1-2,teal
67,08013012206,8013,2.368334624456704,2024-04-01,18,11,2-3,seafoam
67,08013012206,8013,1.292670668374016,2024-06-01,13,6,1-2,teal
67,08013012206,8013,2.538222055849984,2023-10-01,19,12,2-3,seafoam
67,08013012206,8013,1.443285910421504,2023-08-01,16,9,1-2,teal
67,08013012206,8013,1.18300579201024,2024-04-01,23,16,1-2,teal
67,08013012206,8013,1.463905645756416,2024-07-01,14,7,1-2,teal
67,08013012206,8013,3.354255909978112,2023-10-01,22,15,3-4,yellow
67,08013012206,8013,2.181484622381056,2024-02-01,20,13,2-3,seafoam
67,08013012206,8013,2.801861643993088,2023-09-01,18,11,2-3,seafoam
67,08013012206,8013,1.941574057459712,2024-01-01,17,10,1-2,teal
