OBJECTID,FIPS,FIPS_new,field_avg,date,hour_utc,hour_mountain,field_avg_bins,color
230,08013012300,8013,0.954530845949952,2024-02-01,15,8,0-1,royalblue
230,08013012300,8013,2.128545258143744,2024-08-01,18,11,2-3,seafoam
230,08013012300,8013,2.244512193708032,2024-05-01,18,11,2-3,seafoam
230,08013012300,8013,1.237619522404352,2024-07-01,13,6,1-2,teal
230,08013012300,8013,2.523909077336064,2023-11-01,19,12,2-3,seafoam
230,08013012300,8013,1.755276495552512,2024-04-01,16,9,1-2,teal
230,08013012300,8013,1.983775063932928,2023-08-01,23,16,1-2,teal
230,08013012300,8013,2.789843520192512,2023-10-01,17,10,2-3,seafoam
230,08013012300,8013,1.613538548252672,2024-07-01,21,14,1-2,teal
230,08013012300,8013,1.429818637811712,2023-08-01,18,11,1-2,teal
230,08013012300,8013,1.126880233127936,2024-03-01,20,13,1-2,teal
230,08013012300,8013,1.797683794673664,2024-08-01,23,16,1-2,teal
230,08013012300,8013,0.261243768143872,2023-12-01,15,8,0-1,royalblue
230,08013012300,8013,1.427505261051904,2023-09-01,16,9,1-2,teal
230,08013012300,8013,1.414412724338688,2024-05-01,23,16,1-2,teal
230,08013012300,8013,1.368607300780032,2024-06-01,14,7,1-2,teal
230,08013012300,8013,2.527355788591104,2024-01-01,19,12,2-3,seafoam
230,08013012300,8013,1.477797717475328,2023-11-01,22,15,1-2,teal
230,08013012300,8013,1.570258699681792,2024-06-01,23,16,1-2,teal
230,08013012300,8013,1.593042561662976,2023-11-01,15,8,1-2,teal
230,08013012300,8013,2.443611710947328,2023-09-01,21,14,2-3,seafoam
230,08013012300,8013,1.984578088599552,2024-02-01,19,12,1-2,teal
230,08013012300,8013,1.42237975445504,2024-08-01,14,7,1-2,teal
230,08013012300,8013,1.515685072726808,2023-12-01,22,15,1-2,teal
230,08013012300,8013,1.659053793083392,2024-05-01,14,7,1-2,teal
230,08013012300,8013,1.598709905227776,2024-03-01,17,10,1-2,teal
230,08013012300,8013,2.690631117832192,2023-10-01,20,13,2-3,seafoam
230,08013012300,8013,1.410627784409088,2024-07-01,16,9,1-2,teal
230,08013012300,8013,1.412506295730176,2024-04-01,21,14,1-2,teal
230,08013012300,8013,1.608370494636032,2023-08-01,14,7,1-2,teal
230,08013012300,8013,1.476705990475776,2024-06-01,18,11,1-2,teal
230,08013012300,8013,1.84494279622656,2024-01-01,15,8,1-2,teal
230,08013012300,8013,2.514850454437888,2023-12-01,19,12,2-3,seafoam
230,08013012300,8013,1.961572096278528,2024-02-01,22,15,1-2,teal
230,08013012300,8013,1.428683558486016,2024-04-01,13,6,1-2,teal
230,08013012300,8013,2.979777979875328,2023-09-01,19,12,2-3,seafoam
230,08013012300,8013,1.766830628667392,2024-02-01,21,14,1-2,teal
230,08013012300,8013,1.790348124749824,2024-01-01,16,9,1-2,teal
230,08013012300,8013,1.735765935521792,2024-04-01,22,15,1-2,teal
230,08013012300,8013,1.365762153381888,2023-08-01,17,10,1-2,teal
230,08013012300,8013,1.473904866492416,2024-07-01,15,8,1-2,teal
230,08013012300,8013,2.297639194329088,2024-04-01,19,12,2-3,seafoam
230,08013012300,8013,1.455222027190272,2024-03-01,14,7,1-2,teal
230,08013012300,8013,2.206908412854272,2024-07-01,00,17,2-3,seafoam
230,08013012300,8013,2.607202451849216,2023-10-01,18,11,2-3,seafoam
230,08013012300,8013,3.672984627707904,2023-12-01,21,14,3-4,yellow
230,08013012300,8013,1.811890741182464,2024-08-01,17,10,1-2,teal
230,08013012300,8013,2.33433083150336,2023-09-01,22,15,2-3,seafoam
230,08013012300,8013,2.173891925508096,2024-05-01,17,10,2-3,seafoam
230,08013012300,8013,0.28115828998144,2024-06-01,20,13,0-1,royalblue
230,08013012300,8013,1.6074351312896,2023-11-01,16,9,1-2,teal
230,08013012300,8013,0.960900416667648,2024-06-01,17,10,0-1,royalblue
230,08013012300,8013,3.140001197981696,2023-11-01,21,14,3-4,yellow
230,08013012300,8013,1.413651038732288,2023-09-01,15,8,1-2,teal
230,08013012300,8013,1.3970119327744,2023-12-01,16,9,1-2,teal
230,08013012300,8013,2.381651170557952,2024-08-01,20,13,2-3,seafoam
230,08013012300,8013,2.256025256198144,2024-05-01,20,13,2-3,seafoam
230,08013012300,8013,2.653561255100416,2024-04-01,00,17,2-3,seafoam
230,08013012300,8013,1.27652602052608,2024-07-01,19,12,1-2,teal
230,08013012300,8013,1.328475529019392,2024-03-01,23,16,1-2,teal
230,08013012300,8013,1.592464083255296,2023-10-01,14,7,1-2,teal
230,08013012300,8013,2.344894572003328,2024-07-01,22,15,2-3,seafoam
230,08013012300,8013,1.979743297601536,2024-04-01,15,8,1-2,teal
230,08013012300,8013,1.137382770343936,2023-08-01,20,13,1-2,teal
230,08013012300,8013,1.406433077755904,2024-03-01,18,11,1-2,teal
230,08013012300,8013,3.843775075975168,2023-09-01,00,17,3-4,yellow
230,08013012300,8013,4.19372552159232,2024-01-01,21,14,4-5,orange
230,08013012300,8013,1.497874944753664,2024-02-01,16,9,1-2,teal
230,08013012300,8013,3.078394187087872,2024-05-01,00,17,3-4,yellow
230,08013012300,8013,0.901120310378496,2024-06-01,19,12,0-1,royalblue
230,08013012300,8013,1.838534302367744,2024-08-01,00,17,1-2,teal
230,08013012300,8013,1.534875953790976,2024-02-01,23,16,1-2,teal
230,08013012300,8013,1.54802633834496,2023-12-01,18,11,1-2,teal
230,08013012300,8013,1.716879622144,2024-07-01,17,10,1-2,teal
230,08013012300,8013,3.196217756483584,2023-10-01,21,14,3-4,yellow
230,08013012300,8013,1.472480413745152,2023-08-01,15,8,1-2,teal
230,08013012300,8013,2.109045301313536,2024-04-01,20,13,2-3,seafoam
230,08013012300,8013,2.649955093184512,2023-08-01,00,17,2-3,seafoam
230,08013012300,8013,1.4645737816064,2024-03-01,16,9,1-2,teal
230,08013012300,8013,1.841965712801792,2024-06-01,22,15,1-2,teal
230,08013012300,8013,1.895516573007872,2024-05-01,15,8,1-2,teal
230,08013012300,8013,1.855133679878144,2024-08-01,15,8,1-2,teal
230,08013012300,8013,1.719649339179008,2024-02-01,18,11,1-2,teal
230,08013012300,8013,2.688892192948224,2023-09-01,20,13,2-3,seafoam
230,08013012300,8013,1.639777174552576,2024-05-01,22,15,1-2,teal
230,08013012300,8013,2.269446223691776,2023-09-01,17,10,2-3,seafoam
230,08013012300,8013,2.189226837803008,2024-08-01,22,15,2-3,seafoam
230,08013012300,8013,1.934882901065728,2024-01-01,18,11,1-2,teal
230,08013012300,8013,1.117498950811648,2024-06-01,15,8,1-2,teal
230,08013012300,8013,1.237599926616064,2024-03-01,21,14,1-2,teal
230,08013012300,8013,1.563903490260992,2023-08-01,19,12,1-2,teal
